osm_type,osm_id,name,operator,access,surface,lit,indoor,website,phone,lat,lon,raw_tags
way,866282151,,,,,,,,,38.4893139,27.1055014,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,877724356,,,,,,,,,38.4627991,27.0944194,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,877744834,,,,,,,,,38.4627659,27.0905869,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,877974758,,,,,,,,,38.4632301,27.0887458,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,878814887,,,,,,,,,38.4810079,27.0786178,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,878820397,,,,,,,,,38.4874662,27.0888899,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,878820400,,,,,,,,,38.4865725,27.090914,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,878821674,,,,,,,,,38.4770118,27.0837998,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,878821675,,,,,,,,,38.4767351,27.083821,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,878823732,,,,,,,,,38.4836628,27.0885286,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,879078373,,,,,,,,,38.4785575,27.0846525,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,879078377,,,,,,,,,38.4761328,27.0844689,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,879459964,,,,,,,,,38.4757423,27.0708612,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,1334483563,,,,,,,,,38.4719451,27.069454,"{'leisure': 'pitch', 'sport': 'tennis'}"
way,1334483564,,,,,,,,,38.4719276,27.0697408,"{'leisure': 'pitch', 'sport': 'tennis'}"
